Date,PeakingPower(MW),NetPeakingPower(MW),ReserveMargin(MW),Percent Reserve Margin(%),IndustryElec(kW),Elec(kW),isHoliday,isHoliday(Next7)
2018/10/24,30549,32800,2251,7.37,357.468,295.62,0,0
2018/10/25,31029,33145,2116,6.82,360.218,297.895,0,0
2018/10/26,31014,33166,2152,6.94,358.892,296.798,0,0
2018/10/27,25586,28843,3257,12.73,314.868,260.391,1,1
2018/10/28,24289,27404,3115,12.83,288.489,238.576,1,1
2018/10/29,28439,31551,3112,10.94,325.975,269.576,0,0
2018/10/30,29073,31630,2557,8.8,339.912,281.101,0,0
2018/10/31,29060,31822,2762,9.51,341.147,282.123,0,0
2018/11/1,28605,31141,2536,8.87,338.427,264.171,0,0
2018/11/2,28905,31246,2341,8.1,341.673,266.706,0,0
2018/11/3,26486,28411,1925,7.27,318.748,248.811,1,1
2018/11/4,25391,27519,2128,8.38,302.451,236.09,1,1
2018/11/5,29866,31977,2111,7.07,345.595,269.766,0,0
2018/11/6,30772,32894,2122,6.9,360.612,281.488,0,0
2018/11/7,30941,32912,1971,6.37,363.293,283.582,0,0
2018/11/8,31419,33332,1913,6.09,366.131,285.797,0,0
2018/11/9,30295,32402,2107,6.96,358.827,280.095,0,0
2018/11/10,26927,28820,1893,7.03,325.954,254.435,1,1
2018/11/11,25556,28100,2544,9.95,306.277,239.076,1,1
2018/11/12,29963,32053,2090,6.98,346.089,270.152,0,0
2018/11/13,29512,31552,2040,6.91,351.067,274.039,0,0
2018/11/14,29437,31446,2009,6.83,348.102,271.723,0,0
2018/11/15,29920,31899,1979,6.61,352.424,275.097,0,0
2018/11/16,29969,32064,2095,6.99,354.826,276.972,0,0
2018/11/17,26630,28499,1869,7.02,323.609,252.605,1,1
2018/11/18,25682,27488,1806,7.03,306.913,239.572,1,1
2018/11/19,29184,31121,1937,6.64,340.579,265.852,0,0
2018/11/20,29730,31650,1920,6.46,348.496,272.032,0,0
2018/11/21,30019,31958,1939,6.46,353.98,276.312,0,0
2018/11/22,28817,31335,2518,8.74,343.644,268.244,0,0
2018/11/23,28416,31109,2693,9.48,337.844,263.716,0,0
2018/11/24,24811,28177,3366,13.57,301.231,235.136,1,1
2018/11/25,24821,27898,3077,12.4,292.251,228.127,1,1
2018/11/26,28884,30800,1916,6.63,330.964,258.346,0,0
2018/11/27,29017,30846,1829,6.3,339.072,264.675,0,0
2018/11/28,28956,30859,1903,6.57,339.211,264.784,0,0
2018/11/29,28691,30731,2040,7.11,336.713,262.833,0,0
2018/11/30,28562,30745,2183,7.64,337.962,263.809,0,0
2018/12/1,25636,28312,2676,10.44,312.456,209.292,1,1
2018/12/2,24981,27433,2452,9.82,295.658,198.04,1,1
2018/12/3,28963,30857,1894,6.54,336.661,225.505,0,0
2018/12/4,29868,31720,1852,6.2,350.305,234.644,0,0
2018/12/5,29406,31347,1941,6.6,350.37,234.687,0,0
2018/12/6,30019,31885,1866,6.22,355.156,237.893,0,0
2018/12/7,28355,30223,1868,6.59,342.55,229.449,0,0
2018/12/8,25188,27838,2650,10.52,308.049,206.34,1,1
2018/12/9,24038,26694,2656,11.05,289.51,193.922,1,1
2018/12/10,28631,30540,1909,6.67,331.126,221.798,0,0
2018/12/11,28683,30516,1833,6.39,342.354,229.318,0,0
2018/12/12,28236,30171,1935,6.85,335.394,224.657,0,0
2018/12/13,28180,30075,1895,6.72,336.03,225.082,0,0
2018/12/14,28184,30137.4,1953.4,6.93,337.91,226.341,0,0
2018/12/15,25401,27951,2550,10.04,309.932,207.601,1,0
2018/12/16,24544,26687,2143,8.73,293.571,196.642,1,1
2018/12/17,27835,29608,1773,6.37,323.984,217.013,0,0
2018/12/18,28111,29895,1784,6.35,333.25,223.22,0,0
2018/12/19,28371,30177,1806,6.36,336.053,225.097,0,0
2018/12/20,28520,30316,1796,6.3,336.419,225.343,0,0
2018/12/21,28647,30641,1994,6.96,339.254,227.242,0,0
2018/12/22,27178,29051,1873,6.89,330.963,221.688,0,1
2018/12/23,24509,26965,2456,10.02,297.123,199.022,1,1
2018/12/24,27928,30268,2340,8.38,325.754,218.199,0,1
2018/12/25,28585,30545,1960,6.85,340.321,227.956,0,1
2018/12/26,28463,30243,1780,6.25,339.702,227.542,0,0
2018/12/27,27726,29662,1936,6.98,332.31,222.591,0,0
2018/12/28,26844,28906,2062,7.68,322.74,216.181,0,0
2018/12/29,24309,27586,3277,13.48,294.146,197.028,1,1
2018/12/30,23326,25088,1762,7.55,280.023,187.568,1,1
2018/12/31,23399,26505,3106,13.27,277.72,186.024,1,0
2019/1/1,23872,26429,2557,10.71,279.87,192.192,1,0
2019/1/2,28148,30047,1899,6.75,323.08,221.864,0,0
2019/1/3,28452,30343,1891,6.65,336.597,231.146,0,0
2019/1/4,28490,30301,1811,6.36,339.02,232.81,0,0
2019/1/5,26054,27957,1903,7.3,315.825,216.882,1,1
2019/1/6,24617,26950,2333,9.48,295.08,202.637,1,1
2019/1/7,28536,30336,1800,6.31,330.919,227.247,0,0
2019/1/8,28719,30562,1843,6.42,340.713,233.974,0,0
2019/1/9,28641,30595,1954,6.82,339.42,233.086,0,0
2019/1/10,29006,30853,1847,6.37,345.741,237.426,0,0
2019/1/11,28798,30682,1884,6.54,345.312,237.131,0,0
2019/1/12,25905,28402,2497,9.64,316.377,217.261,1,0
2019/1/13,24629,27027,2398,9.74,295.069,202.629,1,1
2019/1/14,28348,30093,1745,6.16,330.529,226.979,0,0
2019/1/15,28887,30731,1844,6.38,341.979,234.843,0,0
2019/1/16,28649,30498,1849,6.45,338.771,232.64,0,0
2019/1/17,28395,30328,1933,6.81,337.237,231.587,0,0
2019/1/18,27756,29691,1935,6.97,333.578,229.073,0,0
2019/1/19,26477,28431,1954,7.38,323.444,222.114,0,1
2019/1/20,24539,27138,2599,10.59,293.809,201.764,1,1
2019/1/21,27739,29654,1915,6.9,324.539,222.866,0,0
2019/1/22,28140,30061,1921,6.83,334.246,229.532,0,0
2019/1/23,27838,29776,1938,6.96,333.761,229.199,0,0
2019/1/24,27863,29735,1872,6.72,334.577,229.76,0,0
2019/1/25,27296,29202,1906,6.98,332.047,228.022,0,0
2019/1/26,25282,27817,2535,10.03,307.745,211.333,1,1
2019/1/27,24414,26506,2092,8.57,291.033,199.857,1,1
2019/1/28,27557,29363,1806,6.55,322.911,221.749,0,1
2019/1/29,27858,29690,1832,6.58,331.844,227.883,0,1
2019/1/30,27760,29570,1810,6.52,331.523,227.663,0,1
2019/1/31,27181,29071,1890,6.95,326.577,224.266,0,1
2019/2/1,24709,26857,2148,8.69,301.346,228.434,0,1
2019/2/2,23382,25623,2241,9.58,278.967,211.47,1,1
2019/2/3,22915,24953,2038,8.89,267.929,203.103,1,1
2019/2/4,20214,22777,2563,12.68,246.263,186.679,1,0
2019/2/5,19992,22325,2333,11.67,235.887,178.814,1,0
2019/2/6,19936,22258,2322,11.65,237.257,179.852,1,0
2019/2/7,20938,23045,2107,10.06,243.67,184.713,1,0
2019/2/8,21581,24696,3115,14.43,253.768,192.369,1,0
2019/2/9,22436,25572,3136,13.98,262.905,199.294,1,1
2019/2/10,23236,26259,3023,13.01,268.156,203.276,1,1
2019/2/11,26667,28942,2275,8.53,308.329,233.729,0,0
2019/2/12,27768,29628,1860,6.7,327.839,248.517,0,0
2019/2/13,27699,29614,1915,6.91,333.045,252.465,0,0
2019/2/14,28250,30193,1943,6.88,335.846,254.587,0,0
2019/2/15,28262,30221,1959,6.93,337.226,255.633,0,0
2019/2/16,25432,27858,2426,9.54,311.235,235.932,1,0
2019/2/17,24343,27016,2673,10.98,289.13,219.174,1,1
2019/2/18,28645,30407,1762,6.15,330.202,250.309,0,0
2019/2/19,28876,30767,1891,6.55,342.868,259.911,0,0
2019/2/20,29078,30916,1838,6.32,346.477,262.647,0,0
2019/2/21,28912,30725,1813,6.27,346.271,262.49,0,1
2019/2/22,28420,30290,1870,6.58,340.97,258.472,0,1
2019/2/23,26723,28452,1729,6.47,324.355,245.877,0,1
2019/2/24,24694,26464,1770,7.17,294.814,223.484,1,1
2019/2/25,28084,29838,1754,6.24,326.311,247.36,0,0
2019/2/26,28390,30208,1818,6.4,336.45,255.045,0,0
2019/2/27,28013,29916,1903,6.79,336.677,255.217,0,0
2019/2/28,25472,27902,2430,9.54,310.838,235.63,1,0
2019/3/1,24689,27060,2371,9.6,299.202,201.362,1,0
2019/3/2,24734,26567,1833,7.41,296.127,199.292,1,1
2019/3/3,24102,26326,2224,9.23,288.39,194.085,1,1
2019/3/4,27688,29583,1895,6.84,322.631,217.129,0,0
2019/3/5,28241,30195,1954,6.92,336.545,226.494,0,0
2019/3/6,28032,29954,1922,6.86,337.025,226.816,0,0
2019/3/7,28147,30015,1868,6.64,336.383,226.384,0,0
2019/3/8,27951,29767,1816,6.5,335.859,226.032,0,0
2019/3/9,25870,28061,2191,8.47,314.352,211.558,1,1
2019/3/10,24801,26624,1823,7.35,295.376,198.787,1,1
2019/3/11,27730,29524,1794,6.47,326.54,219.761,0,0
2019/3/12,27936,29815,1879,6.73,334.596,225.182,0,0
2019/3/13,28145,30068,1923,6.83,337.439,227.096,0,0
2019/3/14,28417,30197,1780,6.26,338.919,228.092,0,0
2019/3/15,27757,29685,1928,6.95,335.598,225.857,0,0
2019/3/16,25318,27836,2518,9.95,309.487,208.283,1,1
2019/3/17,24681,26971,2290,9.28,291.782,196.368,1,1
2019/3/18,28338,30093,1755,6.19,331.873,223.349,0,0
2019/3/19,28882,30687,1805,6.25,345.332,232.408,0,0
2019/3/20,29645,31489,1844,6.22,351.897,236.826,0,0
2019/3/21,30343,32310,1967,6.48,358.451,241.236,0,0
2019/3/22,29618,31959,2341,7.9,352.322,237.112,0,0
2019/3/23,25265,27349,2084,8.25,312.816,210.524,1,1
2019/3/24,24812,26671,1859,7.49,294.599,198.264,1,1
2019/3/25,28535,30388,1853,6.49,333.343,224.339,0,0
2019/3/26,28756,30643,1887,6.56,342.917,230.782,0,0
2019/3/27,29140,31073,1933,6.63,348.038,234.228,0,0
2019/3/28,30093,31985,1892,6.29,356.775,240.109,0,1
2019/3/29,29673,31728,2055,6.92,354.27,238.422,0,1
2019/3/30,25810,27965,2155,8.35,317.793,213.873,1,1
2019/3/31,24466,26763,2297,9.39,296.502,199.545,1,1
2019/4/1,27842,29772,193,6.93,322.237,218.052,0,0
2019/4/2,28359,30275,191.5,6.75,332.233,224.816,0,0
2019/4/3,28483,30387,190.5,6.69,334.523,226.366,0,0
2019/4/4,25663,28003,234,9.12,308.423,208.704,1,0
2019/4/5,24542,26414,187.2,7.63,289.731,196.055,1,0
2019/4/6,24966,26649,168.3,6.74,291.974,197.573,1,1
2019/4/7,25240,27018,177.8,7.04,292.531,197.951,1,1
2019/4/8,30399,32368,196.9,6.48,343.332,232.326,0,0
2019/4/9,31532,33496,196.4,6.23,361.969,244.938,0,0
2019/4/10,31709,33863,215.4,6.79,363.597,246.039,0,0
2019/4/11,30541,32620,207.9,6.81,353.842,239.438,0,0
2019/4/12,29035,31053,201.8,6.95,341.524,231.103,0,0
2019/4/13,26446,28206,176,6.66,318.247,215.352,1,1
2019/4/14,25537,28065,252.8,9.9,302.953,205.003,1,1
2019/4/15,28749,30735,198.6,6.91,331.727,224.473,0,0
2019/4/16,29017,30894,187.7,6.47,339.368,229.644,0,0
2019/4/17,29565,31615,205,6.93,343.38,232.359,0,0
2019/4/18,30335,32338,200.3,6.6,350.574,237.226,0,0
2019/4/19,30748,32668,192,6.24,351.817,238.068,0,0
2019/4/20,26910,28787,187.7,6.98,322.525,218.247,1,1
2019/4/21,26306,28604,229.8,8.74,308.722,208.906,1,1
2019/4/22,31955,33948,199.3,6.24,358.61,242.664,0,0
2019/4/23,33181,35207,202.6,6.11,375.742,254.258,0,0
2019/4/24,33263,35266,200.3,6.02,380.015,257.149,0,1
2019/4/25,33134,35424,229,6.91,380.781,257.667,0,0
2019/4/26,32664,34916,225.2,6.89,376.868,255.02,0,0
2019/4/27,27376,29369,199.3,7.28,336.58,227.757,1,1
2019/4/28,26948,28688,174,6.46,317.806,215.053,1,1
2019/4/29,32847,35058,221.1,6.73,367.385,248.603,0,0
2019/4/30,33099,35309,221,6.68,378.092,255.847,0,0
2019/5/1,26826,29919,3093,11.53,324.099,232.905,1,0
2019/5/2,28690,31373,2683,9.35,332.184,238.715,0,0
2019/5/3,28315,31631,3316,11.71,329.559,236.829,0,0
2019/5/4,25819,28938,3119,12.08,305.945,219.859,1,1
2019/5/5,25336,27591,2255,8.9,293.362,210.817,1,1
2019/5/6,28615,31019,2404,8.4,327.298,235.205,0,0
2019/5/7,28472,31081,2609,9.16,330.933,237.817,0,0
2019/5/8,28968,31108,2140,7.39,335.394,241.022,0,0
2019/5/9,29229,31441,2212,7.57,339.614,244.055,0,0
2019/5/10,29571,32179,2608,8.82,341.478,245.394,0,0
2019/5/11,26576,29413,2837,10.68,317.072,227.855,1,1
2019/5/12,26484,29193,2709,10.23,306.971,220.597,1,1
2019/5/13,32135,34446,2311,7.19,358.075,257.322,0,0
2019/5/14,33144,35275,2131,6.43,374.205,268.912,0,0
2019/5/15,32896,35149,2253,6.85,377.077,270.977,0,0
2019/5/16,33307,35739,2432,7.3,383.442,275.551,0,0
2019/5/17,32316,34862,2546,7.88,377.138,271.02,0,0
2019/5/18,29523,32114,2591,8.78,353.717,254.189,1,1
2019/5/19,28977,31104,2127,7.34,337.522,242.551,1,1
2019/5/20,32213,35560,3347,10.39,361.999,260.141,0,0
2019/5/21,29978,33865,3887,12.97,348.55,250.477,0,0
2019/5/22,30150,34704,4554,15.11,349.088,250.863,0,0
2019/5/23,30430,35142,4712,15.48,350.178,251.647,0,0
2019/5/24,31548,35123,3575,11.33,358.174,257.393,0,0
2019/5/25,27810,31794,3984,14.33,333.172,239.425,1,1
2019/5/26,27905,31694,3789,13.58,320.712,230.472,1,1
2019/5/27,32521,35227,2706,8.32,367.428,264.042,0,0
2019/5/28,32242,35411,3169,9.83,369.604,265.607,0,0
2019/5/29,30319,36224,5905,19.48,352.744,253.491,0,0
2019/5/30,32116,36483,4367,13.6,364.057,261.62,0,0
2019/5/31,32971,37486,4515,13.69,374.886,269.402,0,1
2019/6/1,28860,32902,4042,14.01,321.919,262.332,1,1
2019/6/2,28856,32488,3632,12.59,309.668,252.348,1,1
2019/6/3,32958,37498,4540,13.78,348.832,284.262,0,0
2019/6/4,32409,36955,4546,14.03,350.46,285.59,0,0
2019/6/5,33916,37945,4029,11.88,358.025,291.753,0,0
2019/6/6,34889,38674,3785,10.85,367.088,299.14,0,0
2019/6/7,30068,34770,4702,15.64,334.604,272.669,1,0
2019/6/8,29548,32858,3310,11.2,323.667,263.755,1,1
2019/6/9,29408,33490,4082,13.88,317.096,258.401,1,1
2019/6/10,33355,37502,4147,12.43,350.141,285.329,0,0
2019/6/11,32126,36341,4215,13.12,346.883,282.674,0,0
2019/6/12,31095,36513,5418,17.42,338.179,275.581,0,0
2019/6/13,31680,35273,3593,11.34,340.793,277.712,0,0
2019/6/14,30877,35772,4895,15.85,335.714,273.572,0,0
2019/6/15,27686,33122,5436,19.63,307.399,250.498,1,1
2019/6/16,27673,32635,4962,17.93,299.822,244.324,1,1
2019/6/17,33703,37468,3765,11.17,348.695,284.15,0,0
2019/6/18,34739,37996,3257,9.38,368.608,300.378,0,0
2019/6/19,35601,39258,3657,10.27,377.364,307.513,0,0
2019/6/20,35959,39662,3703,10.3,384.09,312.994,0,0
2019/6/21,35928,40008,4080,11.36,382.262,311.505,0,0
2019/6/22,30923,35113,4190,13.55,349.223,284.582,1,1
2019/6/23,28305,33049,4744,16.76,317.445,258.685,1,1
2019/6/24,31688,37104,5416,17.09,339.907,276.99,0,0
2019/6/25,33290,36804,3514,10.56,351.381,286.34,0,0
2019/6/26,32816,36928,4112,12.53,350.162,285.346,0,0
2019/6/27,33465,37640,4175,12.48,356.885,290.825,0,0
2019/6/28,34963,38530,3567,10.2,366.75,298.864,0,0
2019/6/29,30553,34155,3602,11.79,342.722,279.283,1,1
2019/6/30,30083,33522,3439,11.43,327.882,267.19,1,1
2019/7/1,35215,38849,3634,10.32,355.35,291.76,0,0
2019/7/2,35052,39935,4883,13.93,359.015,294.768,0,0
2019/7/3,33953,38706,4753,14,348.871,286.44,0,0
2019/7/4,34157,39052,4895,14.33,352.368,289.31,0,0
2019/7/5,33853,39567,5714,16.88,350.28,287.596,0,0
2019/7/6,30014,34449,4435,14.78,322.884,265.104,1,1
2019/7/7,29965,34278,4313,14.39,312.81,256.831,1,1
2019/7/8,35166,39621,4455,12.67,354.286,290.886,0,0
2019/7/9,34886,39052,4166,11.94,360.449,295.946,0,0
2019/7/10,35267,39164,3897,11.05,363.084,298.11,0,0
2019/7/11,34564,38719,4155,12.02,359.087,294.828,0,0
2019/7/12,35638,39970,4332,12.16,360.127,295.682,0,0
2019/7/13,31353,36491,5138,16.39,334.682,274.79,1,1
2019/7/14,30941,34198,3257,10.53,321.452,263.927,1,1
2019/7/15,36261,39898,3637,10.03,364.893,299.594,0,0
2019/7/16,36926,40150,3224,8.73,376.816,309.383,0,0
2019/7/17,37383,41153,3770,10.08,381.033,312.846,0,0
2019/7/18,35922,40002,4080,11.36,373.161,306.383,0,0
2019/7/19,35484,39994,4510,12.71,364.325,299.129,0,0
2019/7/20,30618,36836,6218,20.31,329.563,270.586,1,1
2019/7/21,29604,34994,5390,18.2,311.096,255.424,1,1
2019/7/22,34488,40246,5758,16.7,345.826,283.94,0,0
2019/7/23,35004,39770,4766,13.62,354.659,291.192,0,0
2019/7/24,35571,40609,5038,14.16,360.731,296.178,0,0
2019/7/25,35955,40591,4636,12.89,367.923,302.082,0,0
2019/7/26,36523,40420,3897,10.67,369.37,303.27,0,0
2019/7/27,31207,36553,5346,17.13,333.98,274.214,1,1
2019/7/28,29654,35368,5714,19.27,312.766,256.795,1,1
2019/7/29,35554,40478,4924,13.85,357.657,293.654,0,0
2019/7/30,36647,40714,4067,11.1,372.518,305.855,0,0
2019/7/31,36807,40536,3729,10.13,374.623,307.584,0,0
2019/8/1,36482,40524,4042,11.08,375.41,330.64,0,0
2019/8/2,35775,40810,5035,14.08,365.826,322.2,0,0
2019/8/3,31045,36920,5875,18.92,335.586,295.565,1,1
2019/8/4,31333,35151,3818,12.18,328.514,289.337,1,1
2019/8/5,36721,40649,3928,10.7,371.635,327.315,0,0
2019/8/6,36386,41157,4771,13.11,374.848,330.146,0,0
2019/8/7,36067,40786,4719,13.08,374.025,329.421,0,0
2019/8/8,36331,40648,4317,11.88,371.513,327.208,0,0
2019/8/9,30740,37717,6977,22.7,336.511,296.381,0,0
2019/8/10,31478,36049,4571,14.52,338.342,297.993,1,1
2019/8/11,31064,35251,4187,13.48,328.236,289.093,1,1
2019/8/12,34479,40272,5793,16.8,357.815,315.144,0,0
2019/8/13,33906,38658,4752,14.02,357.298,314.688,0,0
2019/8/14,36100,40164,4064,11.26,369.086,325.071,0,0
2019/8/15,34275,40630,6355,18.54,364.341,320.892,0,0
2019/8/16,34379,40427,6048,17.59,357.62,314.972,0,0
2019/8/17,30424,37079,6655,21.87,330.097,290.732,1,1
2019/8/18,28616,34759,6143,21.47,307.806,271.099,1,1
2019/8/19,32954,39330,6376,19.35,337.203,296.99,0,0
2019/8/20,33328,39597,6269,18.81,343.997,302.973,0,0
2019/8/21,33542,39972,6430,19.17,347.032,305.647,0,0
2019/8/22,34983,39807,4824,13.79,357.805,315.135,0,0
2019/8/23,35157,40025,4868,13.85,362.903,319.625,0,0
2019/8/24,28996,35969,6973,24.05,321.683,283.321,1,1
2019/8/25,28990,34452,5462,18.84,305.622,269.175,1,1
2019/8/26,35049,40403,5354,15.27,352.365,310.343,0,0
2019/8/27,35593,40285,4692,13.18,363.805,320.42,0,1
2019/8/28,36507,40601,4094,11.21,371.723,327.393,0,0
2019/8/29,36368,40424,4056,11.15,374.813,330.114,0,0
2019/8/30,34613,40228,5615,16.22,359.782,316.877,0,0
2019/8/31,30636,35403,4767,15.56,329.676,290.36,1,1
2019/9/1,29629,34611,4982,16.81,332.912,329.305,1,1
2019/9/2,35383,39989,4606,13.02,374.997,370.933,0,0
2019/9/3,35469,40050,4581,12.92,382.283,378.14,1,0
2019/9/4,33717,39136,5419,16.07,369.469,365.466,0,0
2019/9/5,33277,39153,5876,17.66,363.107,359.172,0,0
2019/9/6,34200,39285,5085,14.87,365.96,361.994,0,1
2019/9/7,30088,34982,4894,16.27,339.934,336.251,1,1
2019/9/8,29047,33239,4192,14.43,323.579,320.073,1,1
2019/9/9,34357,39318,4961,14.44,364.627,360.676,0,0
2019/9/10,34664,38812,4148,11.97,375.452,371.384,0,0
2019/9/11,35341,39916,4575,12.95,379.44,375.328,0,0
2019/9/12,35264,39889,4625,13.12,379.549,375.436,0,0
2019/9/13,29375,34199,4824,16.42,336.406,332.76,1,0
2019/9/14,28676,33070,4394,15.33,324.443,320.927,1,1
2019/9/15,28191,33578,5387,19.11,315.099,311.685,1,1
2019/9/16,33228,39253,6025,18.13,353.608,349.777,0,0
2019/9/17,32961,38936,5975,18.13,358.369,354.485,0,0
2019/9/18,32428,38470,6042,18.63,353.586,349.754,0,0
2019/9/19,31508,38401,6893,21.88,345.22,341.479,0,0
2019/9/20,30594,36939,6345,20.74,335.219,331.586,0,0
2019/9/21,26460,32072,5612,21.21,299.075,295.834,1,1
2019/9/22,25836,31257,5421,20.98,285.911,282.814,1,1
2019/9/23,29947,36566,6619,22.1,322.52,319.026,0,0
2019/9/24,30106,36722,6616,21.98,331.081,327.493,0,0
2019/9/25,30709,36388,5679,18.49,333.252,329.642,0,0
2019/9/26,31162,36821,5659,18.16,339.548,335.869,0,0
2019/9/27,31255,37499,6244,19.98,342.488,338.777,0,0
2019/9/28,28161,33013,4852,17.23,317.598,314.157,1,1
2019/9/29,27926,32241,4315,15.45,306.994,303.668,1,1
2019/9/30,28505,36162,7657,26.86,317.882,314.438,0,0
